Type,Count,Size Category (1-5),,,Size Rank,,
MCY,2080,1,motorcycle,,X,,
MCC,40,1,motorcycle,,X,,
MOPD,1,1,moped,,X,,
4DSD,118671,2,4 door sedan,,3,4 door sedan/sedan,119468
2DSD,9579,2,2 door sedan,,2,2 door sedan,9579
CONV,1398,2,convertible,,1,convertible/custom,1433
TAXI,566,2,taxi,,4,taxi,566
SEDN,498,2,sedan,,X,,
SDN,290,2,sedan,,X,,
CUST,35,2,custom car,,X,,
FOUR,9,2,4 door car,,X,,
SUBN,134236,3,suburban,,5,suburban,134236
VAN,53638,3,van,,6,van,53638
DELV,21069,3,delivery van,,7,pickup ,11161
PICK,11158,3,pickup truck,,8,refrigerated ,4023
REFG,4023,3,refrigerated van,,9,small wheel truck,14
TRAC,3793,3,tractor no trailer,,10,snow traveler,13
TR/C,311,3,truck crane,,11,tractor no trailer ,3793
P-U,16,3,pick up ,,12,truck crane,311
SWT,14,3,small wheel truck,,X,,
TRAV,13,3,snow traveler,,X,,
FLAT,734,4,flatbed trailer,,13,horse,1
DUMP,410,4,dump truck,,14,boat,77
TOW,163,4,tow truck,,15,stake truck,104
STAK,104,4,stake truck,,16,tow truck,163
BOAT,77,4,boat,,17,limousine,21
H/WH,51,4,house on wheels,,18,traction engine,6
TANK,50,4,propane truck,,19,tractor crane/power shovel,36
T/CR,30,4,tractor crane,,20,flatbed trailer,734
LIM,21,4,limousine,,21,dump truck,410
LTRL,11,4,light  tractor trailer,,22,house on wheels,51
P/SH,6,4,power shovel,,23,light tractor trailer,11
TR/E,6,4,traction engine,,24,propane truck,50
S/SP,3,4,fertilizer spreader,,25,fertilizer spreader,3
HRSE,1,4,horse ,,X,,
TRLR,2606,5,tractor trailer trailer,,26,bus,377
UTIL,1707,5,utility trailer,,27,utility trailer,1707
BUS,377,5,bus,,28,semi truck,130
SEMI,130,5,semi truck,,29,cement mixer,8
MOBL,87,5,mobile home,,30,pole trailer,5
CMIX,8,5,cement mixer,,21,trailer,3
POLE,5,5,pole trailer ,,32,house trailer/mobile home,88
TRAI,3,5,trailer,,33,tractor trailer,2606
H/TR,1,5,house trailer,,X,,
TWOD,2,OMIT,???,,,,
W/DR,2,OMIT,??,,,,
HWH,1,OMIT,??,,,,
FPM,1,OMIT,??,,,,
EMVR,1,OMIT,??,,,,
TRAL,1,OMIT,??,,,,
OL,1,OMIT,??,,,,
CX,1,OMIT,??,,,,
TT,1,OMIT,??,,,,
OM,1,OMIT,??,,,,
AM,1,OMIT,??,,,,
