Type,0
SUBN,134236
4DSD,118671
VAN,53638
DELV,21069
PICK,11158
2DSD,9579
REFG,4023
TRAC,3793
TRLR,2606
MCY,2080
UTIL,1707
CONV,1398
FLAT,734
TAXI,566
SEDN,498
DUMP,410
BUS,377
TR/C,311
SDN,290
TOW,163
SEMI,130
STAK,104
MOBL,87
BOAT,77
H/WH,51
TANK,50
MCC,40
CUST,35
T/CR,30
LIM,21
P-U,16
SWT,14
TRAV,13
LTRL,11
FOUR,9
CMIX,8
P/SH,6
TR/E,6
POLE,5
S/SP,3
TRAI,3
TWOD,2
W/DR,2
HWH,1
HRSE,1
H/TR,1
FPM,1
MOPD,1
EMVR,1
TRAL,1
OL,1
CX,1
TT,1
OM,1
AM,1
